Patient ID	Sample Type	Sequencing Type	Library Layout	Single Cell	Center	Plattform	Lanes	Giga Bases	genotype	tamoxifen_treatment	irradiation_treatment	"hdac_treatment
"	ATMi_treatment  only ATAC-seq	Replicate	id3_irradiation_project	id3_hdac_project	arid1a_project																																																																																																																																																																																																																																															
C010_DivA_ARID1A	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina HiSeq 4000 HiSeq 3000_4000 PE	1	8	KNOCKOUT	TREATED	UNTREATED	UNTREATED		6	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina HiSeq 4000 HiSeq 3000_4000 PE	1	8	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		6	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_IR_R1	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	KNOCKOUT	UNTREATED	TREATED	UNTREATED		1	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_IR_R2	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	16	KNOCKOUT	UNTREATED	TREATED	UNTREATED		2	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_IR_R3	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	13	KNOCKOUT	UNTREATED	TREATED	UNTREATED		3	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_IR_R4	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	15	KNOCKOUT	UNTREATED	TREATED	UNTREATED		4	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R1	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	9	KNOCKOUT	TREATED	UNTREATED	UNTREATED		1	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R1	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	7	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		1	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R2	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	14	KNOCKOUT	TREATED	UNTREATED	UNTREATED		2	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R2	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	17	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		2	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R3	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	16	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		3	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R4	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	13	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		4	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ARID1A_R5	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	20	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		5	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_HDACi_R1	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	14	RESCUE	TREATED	UNTREATED	TREATED		1	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_HDACi_R1	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	16	RESCUE	UNTREATED	UNTREATED	TREATED		1	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_HDACi_R2	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	14	RESCUE	TREATED	UNTREATED	TREATED		2	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_HDACi_R2	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	13	RESCUE	UNTREATED	UNTREATED	TREATED		2	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_IR_R1	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	14	RESCUE	UNTREATED	TREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_IR_R2	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	15	RESCUE	UNTREATED	TREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_R1	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	9	RESCUE	TREATED	UNTREATED	UNTREATED		1	TRUE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_R1	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	9	RESCUE	UNTREATED	UNTREATED	UNTREATED		1	TRUE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_R2	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	14	RESCUE	TREATED	UNTREATED	UNTREATED		2	TRUE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_FL_R2	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	18	RESCUE	UNTREATED	UNTREATED	UNTREATED		2	TRUE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_HDACi_R1	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	12	KNOCKOUT	TREATED	UNTREATED	TREATED		1	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_HDACi_R1	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	7	KNOCKOUT	UNTREATED	UNTREATED	TREATED		1	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_HDACi_R2	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	13	KNOCKOUT	TREATED	UNTREATED	TREATED		2	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_HDACi_R2	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	15	KNOCKOUT	UNTREATED	UNTREATED	TREATED		2	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_HDACi_R3	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	KNOCKOUT	UNTREATED	UNTREATED	TREATED		3	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_HDACi_R4	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	KNOCKOUT	UNTREATED	UNTREATED	TREATED		4	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_IR_R1	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	7	KNOCKOUT	UNTREATED	TREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_ID3_IR_R2	KNOCKOUT-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	13	KNOCKOUT	UNTREATED	TREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
